input_blocks.0.0	conv_in
time_embed.0	time_embedding$linear_1
time_embed.2	time_embedding$linear_2
label_emb.0.0	add_embedding$linear_1
label_emb.0.2	add_embedding$linear_2
input_blocks.1.0.in_layers.0	down_blocks$0$resnets$0$norm1
input_blocks.1.0.in_layers.2	down_blocks$0$resnets$0$conv1
input_blocks.1.0.emb_layers.1	down_blocks$0$resnets$0$time_emb_proj
input_blocks.1.0.out_layers.0	down_blocks$0$resnets$0$norm2
input_blocks.1.0.out_layers.3	down_blocks$0$resnets$0$conv2
input_blocks.2.0.in_layers.0	down_blocks$0$resnets$1$norm1
input_blocks.2.0.in_layers.2	down_blocks$0$resnets$1$conv1
input_blocks.2.0.emb_layers.1	down_blocks$0$resnets$1$time_emb_proj
input_blocks.2.0.out_layers.0	down_blocks$0$resnets$1$norm2
input_blocks.2.0.out_layers.3	down_blocks$0$resnets$1$conv2
input_blocks.3.0.op	down_blocks$0$downsamplers$0$conv
input_blocks.4.1.norm	down_blocks$1$attentions$0$norm
input_blocks.4.1.proj_in	down_blocks$1$attentions$0$proj_in
input_blocks.4.1.transformer_blocks.0.norm1	down_blocks$1$attentions$0$transformer_blocks$0$norm1
input_blocks.4.1.transformer_blocks.0.attn1.to_q	down_blocks$1$attentions$0$transformer_blocks$0$attn1$to_q
input_blocks.4.1.transformer_blocks.0.attn1.to_k	down_blocks$1$attentions$0$transformer_blocks$0$attn1$to_k
input_blocks.4.1.transformer_blocks.0.attn1.to_v	down_blocks$1$attentions$0$transformer_blocks$0$attn1$to_v
input_blocks.4.1.transformer_blocks.0.attn1.to_out.0	down_blocks$1$attentions$0$transformer_blocks$0$attn1$to_out$0
input_blocks.4.1.transformer_blocks.0.norm2	down_blocks$1$attentions$0$transformer_blocks$0$norm2
input_blocks.4.1.transformer_blocks.0.attn2.to_q	down_blocks$1$attentions$0$transformer_blocks$0$attn2$to_q
input_blocks.4.1.transformer_blocks.0.attn2.to_k	down_blocks$1$attentions$0$transformer_blocks$0$attn2$to_k
input_blocks.4.1.transformer_blocks.0.attn2.to_v	down_blocks$1$attentions$0$transformer_blocks$0$attn2$to_v
input_blocks.4.1.transformer_blocks.0.attn2.to_out.0	down_blocks$1$attentions$0$transformer_blocks$0$attn2$to_out$0
input_blocks.4.1.transformer_blocks.0.norm3	down_blocks$1$attentions$0$transformer_blocks$0$norm3
